name,Eads,delta_e,Ebonding,d-band,f3,f4,f5,f6,iz3,iz4,iz5,iz6,izz3,izz4,izz5,izz6
hollow-12-83,-0.197424,0.022462,7.24405,-4.010642655,262.769278,312.054323,362.794729,1833.507061,0.614554,7.425702,0.869897,144.199737,7.873314,2.161365,0.28785,42.093761
hollow-12-86,-0.067146,0.019175,7.37433,-4.00661582,268.801134,329.251546,385.575481,1834.831252,0.018071,7.11489,0.720558,152.307159,9.199764,0.36583,0.006417,46.356134
hollow-12-89,-0.198695,0.022328,7.24278,-4.009222725,264.286306,312.087658,351.611185,1833.351184,0.297907,7.320102,1.000885,144.30745,8.821022,2.435262,1.150097,45.201651
hollow-12-91,0.039195,0.015327,7.48067,-3.998938439,271.726641,346.537896,393.056706,1836.488792,0.537839,5.447916,0.058927,159.076226,9.950917,0.046598,0.000196,51.92602
hollow-12-93,-0.067932,0.018801,7.37354,-4.005963515,269.20376,330.157068,383.150209,1834.817705,0.050616,6.648234,1.30311,152.060429,9.288837,0.287646,0.009248,46.334988
hollow-12-95,0.03888,0.01471,7.48035,-3.998850252,271.797644,346.976501,392.931924,1836.595556,0.562584,5.286923,0.235391,159.020181,9.945001,0.036807,0.002986,51.764726
hollow-12-99,-0.199948,0.022349,7.24153,-4.008444265,265.416024,312.43799,337.914972,1833.021785,0.069981,7.200928,0.899074,144.796963,10.527279,3.250642,3.106829,51.335362
hollow-13-102,0.002969,0.030648,7.6605,-3.961852646,223.662193,286.31399,335.07077,1827.14718,2.151602,2.053462,0.395221,168.652666,46.692751,8.211303,5.443936,74.509333
hollow-13-104,0.097731,0.02777,7.75526,-3.959181056,242.778646,328.847738,373.418489,1829.014919,2.052749,4.437509,0.350773,175.337041,9.826362,0.367585,0.030414,64.335806
hollow-13-108,0.097313,0.027436,7.75485,-3.959441025,242.481019,330.256028,371.616834,1829.046447,2.086627,4.184242,0.64055,175.207622,9.842438,0.358556,0.055157,64.283065
hollow-13-110,0.17077,0.024937,7.8283,-3.956108594,241.238463,346.025067,378.257719,1829.970461,2.373085,2.80554,0.015067,181.209047,10.17656,0.268518,0.000185,69.848187
hollow-13-114,0.170572,0.024757,7.8281,-3.953361696,241.192188,346.429742,378.353738,1830.08311,2.378402,2.741321,0.090013,181.192021,10.17812,0.275442,0.007731,69.781754
hollow-13-116,0.096922,0.02788,7.75445,-3.959796007,242.141952,331.928489,369.263652,1829.040878,2.127881,3.839837,1.026301,175.057352,9.860989,0.340116,0.086742,64.29739
hollow-13-118,0.170327,0.024719,7.82786,-3.953286204,241.120803,346.997045,377.987518,1830.139031,2.388567,2.621746,0.225459,181.155504,10.181051,0.273702,0.024443,69.705981
hollow-13-123,0.096463,0.027651,7.754,-3.959135196,241.786621,333.566209,366.814371,1828.975739,2.173523,3.386622,1.521401,174.900571,9.882303,0.310752,0.12688,64.318373
hollow-13-126,0.170199,0.024598,7.82773,-3.956243906,241.029539,347.673501,377.153466,1830.130471,2.402801,2.442455,0.423573,181.10344,10.184186,0.261426,0.048679,69.649068
hollow-13-131,0.170056,0.024657,7.82759,-3.955327893,240.925353,348.394489,375.984915,1830.061253,2.420246,2.198202,0.689221,181.039465,10.187378,0.238277,0.080259,69.613012
hollow-13-133,0.095978,0.028025,7.75351,-3.956783932,241.443689,334.936736,364.629272,1828.895687,2.220881,2.810261,2.137151,174.750256,9.908421,0.267668,0.178749,64.282706
hollow-13-135,0.222837,0.023019,7.88037,-3.952039954,240.315716,360.041062,379.079909,1830.892991,2.620808,1.312456,0.004016,185.291488,10.418672,0.136431,0.000158,73.983062
hollow-13-137,0.222803,0.022884,7.88034,-3.952009219,240.309966,360.219817,379.126312,1830.948485,2.621257,1.283403,0.036675,185.292058,10.419926,0.139797,0.002322,73.99301
hollow-13-139,0.169852,0.024305,7.82738,-3.956231141,240.816478,349.191429,374.690155,1829.985705,2.439866,1.894942,1.016031,180.967934,10.191676,0.206144,0.118594,69.578604
hollow-13-141,0.222754,0.023306,7.88029,-3.952545693,240.298909,360.505486,378.982758,1830.977391,2.623471,1.222569,0.102809,185.286214,10.422806,0.138843,0.011291,73.971513
hollow-13-142,0.095504,0.027443,7.75304,-3.957297332,241.141579,336.243606,362.912983,1828.927071,2.268161,2.144339,2.840827,174.614209,9.940515,0.21144,0.243386,64.142812
hollow-13-144,0.222737,0.022882,7.88027,-3.951824228,240.283504,360.885212,378.616259,1830.964064,2.627176,1.12891,0.203163,185.27402,10.426367,0.1328,0.025921,73.930053
hollow-13-146,0.169579,0.024662,7.82711,-3.955558689,240.710729,350.130711,373.404917,1829.970082,2.460234,1.548008,1.386783,180.894764,10.198879,0.167944,0.162183,69.520924
hollow-13-148,0.222647,0.022723,7.88018,-3.951443255,240.265144,361.346219,378.081163,1830.922713,2.631975,1.002783,0.336838,185.256742,10.429638,0.121393,0.045057,73.880936
hollow-13-149,0.095133,0.027599,7.75267,-3.958978582,240.900401,337.706035,361.697378,1829.111469,2.312126,1.454962,3.566209,174.499547,9.978211,0.146528,0.317251,63.891133
hollow-13-150,0.169332,0.024298,7.82686,-3.955991777,240.614633,351.238074,372.218757,1830.055354,2.479714,1.171537,1.784703,180.826661,10.210251,0.125974,0.20956,69.425656
hollow-13-153,0.222554,0.02254,7.88009,-3.951316254,240.24518,361.875774,377.488232,1830.886105,2.637391,0.84829,0.499022,185.236309,10.432075,0.105068,0.067519,73.83286
hollow-13-160,0.222485,0.022763,7.88002,-3.95127603,240.225103,362.451321,376.935833,1830.879292,2.642929,0.674016,0.680428,185.21505,10.433654,0.084991,0.092006,73.789913
hollow-13-162,0.254541,0.020873,7.91207,-3.95043757,239.921544,370.066372,377.950415,1831.508032,2.762715,0.338486,0.000626,187.737816,10.607094,0.034666,0.001193,76.416355
hollow-13-163,0.16912,0.024952,7.82665,-3.955723512,240.533642,352.462146,371.222428,1830.214838,2.496764,0.782136,2.191763,180.76885,10.224901,0.082797,0.258512,69.298371
hollow-13-165,0.254497,0.021255,7.91203,-3.950428807,239.924127,370.19253,377.860822,1831.516161,2.762136,0.336915,0.00263,187.741679,10.609539,0.036344,0.000001,76.430182
hollow-13-167,0.254448,0.021095,7.91198,-3.950431789,239.925841,370.326684,377.756361,1831.519604,2.761715,0.323881,0.016371,187.743523,10.610822,0.036474,0.00135,76.440022
hollow-13-168,0.09483,0.027961,7.75236,-3.957442005,240.727428,338.940501,360.728669,1829.243291,2.348072,0.788072,4.262825,174.412959,10.017762,0.07858,0.39356,63.581239
hollow-13-169,0.222384,0.022907,7.87992,-3.952409991,240.206319,363.027293,376.449594,1830.890093,2.648141,0.491014,0.869442,185.194995,10.434643,0.062758,0.117153,73.753167
hollow-13-171,0.254419,0.021552,7.91195,-3.950426602,239.926865,370.466975,377.635854,1831.517322,2.76147,0.299729,0.041475,187.743731,10.611319,0.034946,0.005075,76.445179
hollow-13-173,0.254388,0.021355,7.91192,-3.950405269,239.927311,370.61334,377.501296,1831.510285,2.761394,0.265647,0.076706,187.742719,10.611336,0.031832,0.010796,76.445843
hollow-13-174,0.169026,0.024365,7.82656,-3.955952445,240.472427,353.598262,370.47393,1830.372217,2.510049,0.410236,2.576945,180.72494,10.240164,0.042525,0.304491,69.165879
hollow-13-175,0.222278,0.022795,7.87981,-3.952278928,240.190158,363.538474,376.029858,1830.903004,2.652643,0.312148,1.053074,185.177494,10.435227,0.040284,0.141483,73.722259
hollow-13-177,0.254369,0.021307,7.9119,-3.950403193,239.927318,370.766953,377.357808,1831.500715,2.761466,0.223637,0.119998,187.740866,10.61109,0.02737,0.017976,76.44297
hollow-13-179,0.254353,0.021505,7.91189,-3.950977841,239.927031,370.92819,377.211666,1831.49163,2.761644,0.176419,0.16855,187.738505,10.610729,0.021942,0.025992,76.437804
hollow-13-180,0.222179,0.022791,7.87971,-3.95225783,240.177681,363.924901,375.681616,1830.897275,2.656129,0.155176,1.213531,185.163632,10.435706,0.020162,0.162766,73.698285
hollow-13-181,0.094595,0.027919,7.75213,-3.958940151,240.620902,339.497182,359.920873,1829.173722,2.371932,0.242474,4.827008,174.357862,10.051532,0.021844,0.455745,63.319886
hollow-13-182,0.254345,0.02117,7.91188,-3.950911863,239.926605,371.09174,377.069386,1831.482765,2.761884,0.127327,0.218946,187.735968,10.610348,0.016028,0.034186,76.431681
hollow-13-183,0.169008,0.024414,7.82654,-3.94862855,240.434211,354.378514,370.002389,1830.476968,2.518501,0.120381,2.875017,180.697287,10.251743,0.012122,0.339262,69.062317
hollow-13-184,0.254292,0.020988,7.91182,-3.950759351,239.926216,371.24865,376.939139,1831.475962,2.762138,0.080301,0.267144,187.733527,10.610012,0.010196,0.041873,76.425796
hollow-13-185,0.222153,0.023054,7.87969,-3.952273387,240.169833,364.160842,375.438781,1830.87952,2.658356,0.043717,1.327197,185.154357,10.436101,0.005717,0.177894,73.682875
hollow-13-186,0.254296,0.020552,7.91183,-3.950737559,239.925804,371.385756,376.830031,1831.473359,2.762357,0.040014,0.308361,187.731494,10.609769,0.005104,0.048325,76.421045
hollow-13-187,0.254289,0.020709,7.91182,-3.950940442,239.925568,371.48511,376.752255,1831.472553,2.762513,0.011722,0.337264,187.730037,10.609629,0.001491,0.052772,76.418021
hollow-13-201,0.094532,0.027567,7.75206,-3.959754021,240.576937,339.622732,359.486727,1829.090278,2.3804,0.001782,5.072457,174.33856,10.071795,0.000022,0.477485,63.215878
hollow-13-202,0.169045,0.024584,7.82658,-3.958256633,240.420918,354.671955,369.815474,1830.511315,2.521427,0.000329,2.998005,180.68694,10.256665,0.000016,0.353184,69.018062
hollow-13-203,0.222154,0.023465,7.87969,-3.951650124,240.167193,364.251137,375.338747,1830.870329,2.659152,0.000145,1.371627,185.1506,10.436228,0.000021,0.183856,73.677339
hollow-13-204,0.254283,0.020676,7.91182,-3.950933572,239.925514,371.531015,376.714257,1831.472542,2.762582,0.000124,0.349095,187.729296,10.609578,0.000014,0.054544,76.416948
hollow-13-205,0.265398,0.020518,7.92293,-3.948587436,239.793256,373.374014,376.471146,1831.279527,2.808868,0.000009,0,188.490693,10.642866,0.001915,0,77.337052
hollow-13-74,0.005192,0.029923,7.66272,-3.961899202,246.058555,299.666381,364.447561,1826.843916,1.581061,6.648004,0.004681,168.217726,10.034883,0.182032,0.084404,58.939249
