M1M2M3M4,E_homo,G_homo,E_M1,G_M1,E_M2,G_M2,E_M3,G_M3,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
MnNiMn,NaN,NaN,117.47,192.23,111.19,179.56,97.4,168.21,168.21,0.96133,0.99862,1.10767,-0.94083,0.54589,3.6532,1.6738,4.67993,0.24383,0.0841,-3.12807,-2.56313,-2.62142,-3.08536,-1.70633,1.876257,1.876212,1.876212,1.91152033,2.073763523,1.922174713,82.13844137,129.6867994,108.1120282,-36.06561009,7,10,7
MnNiNi,NaN,NaN,121.13,185.67,118.9,181.66,98.46,159.73,159.73,0.94665,0.99656,0.98489,-0.90397,0.54607,3.6185,1.6603,1.6147,0.32095,0.0611,-2.90389,-2.28355,-2.63229,-3.04912,-1.35342,2.147515,1.609785,1.609785,1.939874955,2.059429827,1.839112646,81.51247031,127.140763,115.4117362,-38.86257465,7,10,10
MnNiZn,NaN,NaN,116.31,181.79,108.57,171.92,100.12,162.26,162.26,0.96465,0.99669,1.17662,-0.98387,0.52588,3.6205,1.6649,0.0115,0.1652,0.0433,-2.91853,-2.32155,-6.15523,-2.84403,-1.44844,2.14414,2.179603,2.14414,1.914448691,2.06817228,1.86843987,81.91662939,125.9607654,105.9906925,-38.83932255,7,10,12
MnZnCo,NaN,NaN,115.48,179.19,84.93,148.62,97.48,161.24,148.62,1.01108,1.19822,0.9905,-0.96449,0.60425,3.6535,0.0272,2.5761,0.27199,0.0574,-3.19873,-5.62337,-3.027,-3.33969,-1.53963,2.187513,1.547085,1.547085,1.915752231,2.026686447,1.860901284,90.20133906,132.8139837,108.7556492,-30.32093818,7,12,9
MnZnCu,145.84,193.39,52.15,118.39,64.31,131.48,74.74,135.52,118.39,1.12763,1.23749,0.82931,-0.98693,0.805,4.25726,0.0307,-0.3672,-0.11037,-0.428,-2.89381,-6.33084,-2.27989,-3.4918,-2.29027,0.616457,3.069435,0.616457,1.88298983,1.96651334,1.952621077,93.21194614,143.9619913,117.9160421,-13.20363588,7,12,11
MnZnFe,NaN,NaN,122.17,191.02,121.7,187.92,132.83,198.25,187.92,1.02469,1.18821,0.99357,-0.96684,0.59743,3.6717,0.0232,3.5814,0.25686,0.0483,-3.74932,-6.25233,-3.65664,-3.81555,-2.10012,2.160931,1.344456,1.344456,1.917279074,2.037319675,1.86737577,89.60906503,129.1209233,105.1465481,-33.54184397,7,12,8
MnZnMn,NaN,NaN,118.01,183.49,99.12,164.35,97.59,156.69,156.69,0.96535,1.21576,1.11512,-0.98129,0.56315,3.6611,0.0328,4.67146,0.19107,0.0756,-3.05657,-5.85343,-2.60686,-2.90377,-1.60348,1.959787,1.911613,1.911613,1.895108211,2.135260533,1.925961049,82.47092274,131.8645689,109.0135376,-33.90639523,7,12,7
MnZnNi,NaN,NaN,117.27,188.97,91.29,165.32,90.49,152.21,152.21,0.93731,1.22783,0.98437,-0.92104,0.56332,3.6081,0.0307,-1.5778,-0.1267,0.032,-2.96213,-5.67133,-2.66981,-3.00983,-1.32698,1.47683,2.632862,1.47683,1.903151299,2.156422703,1.835685957,81.94284931,124.6436166,114.19117,-39.7698605,7,12,10
MnZnZn,NaN,NaN,112.5,181.5,91.9,161.58,96.95,156.45,156.45,0.96503,1.22267,1.18917,-1.03011,0.54793,3.6246,0.0285,0.0138,0.0838,0.0333,-2.91165,-5.67535,-6.27927,-2.72354,-1.41243,2.16261,2.716567,2.16261,1.897046504,2.131559769,1.872246075,82.53930317,127.2106515,106.1197851,-37.20424294,7,12,12
NiCoCo,167.06,218.41,132.02,193.73,123.43,186.68,102.55,164.52,164.52,1.02695,1.0244,0.99322,-0.95749,0.78079,1.6528,2.6342,2.6073,0.50701,0.4116,-2.68912,-2.80886,-3.0273,-3.48377,-2.42918,3.900058,0.782046,0.782046,1.952042315,1.945835223,1.852109844,88.45558717,127.9797238,111.0811379,-35.22814594,10,9,9
NiCoCu,122.77,173.45,136.71,189.94,128.51,192.44,137.12,198.75,173.45,1.02021,1.0683,0.85681,-0.8794,0.78979,1.6475,2.697,0.4411,0.62095,0.4283,-2.5237,-2.9303,-2.4073,-3.41382,-2.2068,3.948128,0.625601,0.625601,1.93704961,1.873585751,1.929449757,90.59145565,131.3843799,115.3410804,-30.48813787,10,9,11
NiCoFe,420.95,492.6,424.51,530.91,376.64,467.52,271.52,353.72,353.72,0.84367,0.89923,0.74642,-0.68775,0.68272,0,0,0,0,0,-2.12145,-1.98036,-1.92801,-4.72546,-2.18104,-0.244218,-0.244218,-0.244218,1.960566186,2.051356281,1.788223351,91.9793115,135.6495198,116.7512967,-24.80769027,10,9,8
NiCoNi,NaN,NaN,123.57,184.59,68.36,133.83,95.39,155.28,133.83,1.03039,1.07953,0.9568,-0.92812,0.79662,1.6408,2.6895,1.534,0.58583,0.4428,-2.54881,-2.86406,-2.47595,-3.70423,-2.10507,3.908459,0.786409,0.786409,1.954108553,1.895201199,1.85866031,91.33388319,140.0394693,125.075539,-13.07960933,10,9,10
NiCoZn,NaN,NaN,127.41,192.31,120.87,186.06,111.86,174.21,174.21,1.03552,1.03138,1.19726,-1.06542,0.77464,1.6373,2.631,0.0065,0.31487,0.4111,-2.67655,-2.77841,-6.6897,-3.35704,-2.52182,3.574382,0.637389,0.637389,1.936701185,1.915294576,1.879035898,90.00086314,132.7258553,115.4325037,-29.62111134,10,9,12
NiCuCo,140.42,186.5,120.47,180.33,114.05,177.49,84.68,157.27,157.27,1.02739,0.91462,0.96449,-0.89297,0.7708,1.633,0.5449,2.5881,0.55391,0.4087,-2.43466,-2.61231,-3.09819,-3.22302,-2.3058,3.958956,0.921763,0.921763,1.964038114,1.982828274,1.837473923,87.77227249,123.1862916,105.8810935,-39.17431439,10,11,9
